Sentence,Tag
마포구 동교로 187길 인근에서 이상한 일이 발생했어요 .,LOC AFW-B NUM-B O O O O O
송파구 올림픽로 34길 주변에서 의심스러운 사람들이 보여요 .,LOC AFW-B NUM-B O O O O O
양천구 신정로 123길 주변에 이상한 소리가 들리는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O
강동구 양재대로 123길 주변에서 이상한 동작을 하는 사람이 보여요 .,LOC AFW-B NUM-B O O O O O O O
서초구 반포대로 42길에서 의심스러운 인물들이 모여 있습니다 .,LOC AFW-B NUM-B O O O O O
관악구 관악로 25길 주택에서 불이 나서 대피가 필요한 상황입니다 .,LOC AFW-B NUM-B O O O O O O O
성동구 왕십리로 236길 주변에서 이상한 냄새가 납니다 .,LOC AFW-B NUM-B O O O O O
마포구 백범로 35길 주택에서 화재 경보가 울려 퍼집니다 .,LOC AFW-B NUM-B O O O O O O
노원구 노원로 15길 인근에서 시비가 벌어지고 있는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O
중랑구 용마산로 123길에서 의심스러운 동작을 하는 사람이 나타났어요 .,LOC AFW-B NUM-B O O O O O O
은평구 연서로 236길 주택에서 화재 경보가 울려 퍼집니다 .,LOC AFW-B NUM-B O O O O O O
강서구 화곡로 302길 주변에서 이상한 냄새가 납니다 .,LOC AFW-B NUM-B O O O O O
서대문구 신촌로 121길 인근에서 불법 주차로 인한 교통 혼잡이 발생한 것 같습니다 .,LOC AFW-B NUM-B O O AFW-B O O O O O O O
동작구 상도로 131길 주택에서 화재 경보가 울려 퍼집니다 .,LOC AFW-B NUM-B O O O O O O
구로구 구로중앙로 10길에서 의심스러운 상황이 발생하고 있습니다 .,LOC AFW-B NUM-B O O O O O
양천구 신정로 123길 주변에서 시비가 벌어지고 있습니다 .,LOC AFW-B NUM-B O O O O O
강동구 강동대로 123길 주택에서 이상한 소리가 들린다고 하네요 .,LOC AFW-B NUM-B O O O O O O
송파구 가락로 56길 인근에서 의문의 물체가 보인다고 하셨습니다 .,LOC AFW-B NUM-B O O O O O O
관악구 신림로 53길 주택에서 시비가 벌어지고 있다고 합니다 .,LOC AFW-B NUM-B O O O O O O
중랑구 용마산로 171길 인근에서 긴급한 도움이 필요한 상황입니다 .,LOC AFW-B NUM-B O O O O O O
은평구 갈현로 78길 주변에서 의심스러운 사람들이 많이 보입니다 .,LOC AFW-B NUM-B O O O O O O
강남구 선릉로 234길 주변에서 의문의 물체가 나타났어요 .,LOC AFW-B NUM-B O O O O O
강서구 양천로 456길 주택에서 시비가 벌어지고 있습니다 .,LOC AFW-B NUM-B O O O O O
강북구 미아로 789길 주변에서 의문의 소리가 들린다고 하네요 .,LOC AFW-B NUM-B O O O O O O
마포구 와우산로 890길 주변에 의심스러운 상황이 발생했습니다 .,LOC AFW-B NUM-B O O O O O
서대문구 명물길 123길 인근에서 이상한 소리가 들리는 것 같습니다 .,LOC O NUM-B O O O O O O O
중구 신당로 456길 주택에서 시비가 벌어지고 있습니다 .,LOC AFW-B NUM-B O O O O O
성북구 돈암로 789길 주변에서 의심스러운 물체가 보입니다 .,LOC AFW-B NUM-B O O O O O
종로구 경희궁2길 67길 인근에서 의문의 소리가 들린다고 하네요 .,LOC O NUM-B O O O O O O
송파구 위례송파로 890길 주택에서 불이 나서 대피가 필요한 상황입니다 .,LOC AFW-B NUM-B O O O O O O O
중랑구 망우로 123길 주변에서 의심스러운 사람들이 보입니다 .,LOC AFW-B NUM-B O O O O O
양천구 신월로 456길 인근에서 의문의 냄새가 납니다 .,LOC AFW-B NUM-B O O O O O
관악구 봉천로 789길 주택에서 시비가 벌어진 것 같습니다 .,LOC AFW-B NUM-B O O O O O O
중랑구 용마산로 123길 주변에서 의심스러운 소리가 들리는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O
은평구 수색로 456길 인근에서 의문의 물체가 보입니다 .,LOC AFW-B NUM-B O O O O O
강서구 화곡로 789길 주택에서 시비가 벌어지는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O
서초구 서초중앙로 123길 주변에 의심스러운 사람들이 보입니다 .,LOC AFW-B NUM-B O O O O O
종로구 종로 789길 인근에서 의문의 소리가 들리는 것 같습니다 .,LOC AFW-B NUM-B O O O O O O O
강동구 천호대로 456길 주택에서 불이 나서 대피가 필요한 상황입니다 .,LOC AFW-B NUM-B O O O O O O O
마포구 와우산로 123길 주변에 의심스러운 물체가 보입니다 .,LOC AFW-B NUM-B O O O O O
양천구 목동로 456길 인근에서 의문의 사람들이 보입니다 .,LOC AFW-B NUM-B O O O O O
강서구 공항대로 789길 주택에서 이상한 냄새가 납니다 .,LOC AFW-B NUM-B O O O O O
관악구 낙성대로 123길 주변에 의심스러운 사람들이 많이 보입니다 .,LOC AFW-B NUM-B O O O O O O
성동구 금호로 456길 인근에서 의문의 물체가 나타났습니다 .,LOC AFW-B NUM-B O O O O O
동작구 사당로 789길 주택에서 의문의 소리가 들린다고 하네요 .,LOC AFW-B NUM-B O O O O O O
강북구 솔샘로 123길 주변에서 이상한 소리가 들린다고 합니다 .,LOC AFW-B NUM-B O O O O O O
은평구 응암로 456길 인근에서 의문의 냄새가 납니다 .,LOC AFW-B NUM-B O O O O O
서초구 방배로 789길 주택에서 이상한 사람들이 많이 모여 있습니다 .,LOC AFW-B NUM-B O O O O O O O
강동구 상일로 123길 주변에 의심스러운 물체가 보입니다 .,LOC AFW-B NUM-B O O O O O
종로구 경복궁로 456길 인근에서 의문의 동작을 하는 사람이 보입니다 .,LOC AFW-B NUM-B O O O O O O O
송파구 위례송파로 789길 주택에서 불이 나서 대피가 필요한 상황입니다 .,LOC AFW-B NUM-B O O O O O O O
중랑구 망우로 123길 주변에 의심스러운 사람들이 많이 보입니다 .,LOC AFW-B NUM-B O O O O O O
강서구 공항대로 456길 인근에서 이상한 소리가 들린다고 하네요 .,LOC AFW-B NUM-B O O O O O O
양천구 목동중앙로 789길 주변에서 시비가 벌어진 것 같습니다 .,LOC AFW-B NUM-B O O O O O O
강북구 솔샘로 123길 주변에 의문의 사람들이 많습니다 .,LOC AFW-B NUM-B O O O O O
은평구 불광로 456길 인근에서 의문의 냄새가 나옵니다 .,LOC AFW-B NUM-B O O O O O
관악구 낙성대로 789길 주택에서 이상한 소리가 들린다고 합니다 .,LOC AFW-B NUM-B O O O O O O
강남구 논현로 175길 주변에서 의심스러운 차량들이 모여 있어요 .,LOC AFW-B NUM-B O O O O O O
마포구 홍대로 23길 인근에서 소란스러운 시비가 벌어지고 있어요 .,LOC AFW-B NUM-B O O O O O O
송파구 올림픽로 45길 주택에서 화재 경보가 울려 퍼지고 있어요 .,LOC AFW-B NUM-B O O O O O O O
강서구 공항로 123길 주변에서 의심스러운 사람들이 이동하고 있어요 .,LOC AFW-B NUM-B O O O O O O
양천구 목동서로 56길 인근에서 의문의 물체가 발견되었어요 .,LOC AFW-B NUM-B O O O O O
관악구 관악로 89길 주택에서 이상한 소리가 들려옵니다 .,LOC AFW-B NUM-B O O O O O
성동구 왕십리로 234길 주변에서 특이한 동작을 하는 사람이 보여요 .,LOC AFW-B NUM-B O O O O O O O
중랑구 망우로 78길 주택에서 의심스러운 냄새가 풍겨옵니다 .,LOC AFW-B NUM-B O O O O O
강북구 솔샘로 456길 주변에서 시비가 벌어지고 있어요 .,LOC AFW-B NUM-B O O O O O
은평구 연서로 123길 주택에서 화재 경보가 울려옵니다 .,LOC AFW-B NUM-B O O O O
마포구 서교로 789길 주변에서 시비가 벌어지는 소리가 들려와요 ., LOC AFW-B NUM-B O O O O O O
강동구 양재대로 56길 주택에서 불이 나서 대피가 필요한 상황이에요 .,LOC AFW-B NUM-B O O O O O O O
관악구 봉천로 123길 주변에서 의심스러운 사람들이 많아요 .,LOC AFW-B NUM-B O O O O O
성동구 성수일로 456길 주변에서 의문의 소리가 들려옵니다 .,LOC AFW-B NUM-B O O O O O
강서구 마곡로 789길 인근에서 이상한 동작을 하는 사람이 보여요 .,LOC AFW-B NUM-B O O O O O O O
종로구 종로 123길 주택에서 화재 경보가 울려와요 .,LOC AFW-B NUM-B O O O O O
강동구 천호대로 456길 주변에서 의심스러운 물체가 보여요 .,LOC AFW-B NUM-B O O O O O
양천구 목동중앙로 789길 인근에서 이상한 소리가 들려옵니다 .,LOC AFW-B NUM-B O O O O O
은평구 응암로 123길 주택에서 의문의 냄새가 나와요 .,LOC AFW-B NUM-B O O O O O
중랑구 망우로 456길 주변에서 의심스러운 사람들이 모여 있어요 .,LOC AFW-B NUM-B O O O O O O
종로구 이화장길 36-7 주변에서 의심스러운 사람들이 모여 있습니다 .,LOC AFW-B NUM-B O O O O O O
강남구 역삼로 123길 8-12 인근에서 소란이 있어요 .,LOC AFW-B NUM-B NUM-B O O O O
마포구 서교동 456-78 주택에서 화재 경보가 울려요 .,LOC LOC NUM-B O O O O O
강서구 양천로 789길 23-45 주변에서 의문의 물체가 발견되었습니다 .,LOC AFW-B NUM-B NUM-B O O O O O
영등포구 여의대방로 56길 11-22 주택에서 이상한 소리가 들려옵니다 .,LOC AFW-B NUM-B NUM-B O O O O O
관악구 신림로 234길 9-10 주변에서 의심스러운 차량들이 모여 있어요 .,LOC AFW-B NUM-B NUM-B O O O O O O
성동구 성수동1가 345-67 주변에서 의문의 사람들이 이동하고 있어요 .,LOC O NUM-B O O O O O O
강북구 솔샘로 123길 5-6 주택에서 특이한 동작을 하는 사람이 보여요 .,LOC AFW-B NUM-B NUM-B O O O O O O O
은평구 응암동 789-10 주변에서 의심스러운 냄새가 나와요 .,LOC LOC NUM-B O O O O O
중랑구 망우로 456길 1-2 주변에서 의심스러운 인물들이 모여 있네요 .,LOC AFW-B NUM-B NUM-B O O O O O O
마포구 합정동 123-4 주변에서 시비가 벌어지는 소리가 들려와요 .,LOC LOC NUM-B O O O O O O
강동구 천호동 56-7 주택에서 불이 나서 대피가 필요한 상황이에요 .,LOC LOC NUM-B O O O O O O O
관악구 봉천동 89-10 주변에서 의심스러운 사람들이 많아요 .,LOC LOC NUM-B O O O O O
성동구 성수동2가 345-6 주변에서 의문의 소리가 들려옵니다 .,LOC AFW-B NUM-B O O O O O
강서구 마곡동 789-10 주변에서 이상한 동작을 하는 사람이 보여요 .,LOC LOC NUM-B O O O O O O O
종로구 종로1가 234-5 주택에서 화재 경보가 울려와요 .,LOC O NUM-B O O O O O
강동구 천호동 456-7 주변에서 의심스러운 물체가 보여요 .,LOC LOC NUM-B O O O O O
양천구 목동 89-10 주변에서 이상한 소리가 들려옵니다 .,LOC LOC NUM-B O O O O O
은평구 불광동 123-4 주택에서 의문의 냄새가 나와요 .,LOC LOC NUM-B O O O O O
중랑구 망우동 56-7 주변에서 의심스러운 사람들이 모여 있어요 .,LOC LOC NUM-B O O O O O O
마포구 와우산로 45길 주택인데 이상한 소리가 들려와 주민들이 불안해하고 있어요 .,LOC AFW-B NUM-B O O O O O O O O
서대문구 연세로 678길인데 의심스러운 인물들이 주변을 서성이고 있어요 .,LOC AFW-B NUM-B O O O O O O
강서구 마곡로 910길 주변인데 큰 화재가 발생했어요 .,LOC AFW-B NUM-B O O O O O
성동구 왕십리로 11길 주택인데 불이 나서 주민들이 대피하고 있어요 .,LOC AFW-B NUM-B O O O O O O O
강북구 솔샘로 234길인데 소란스러운 시비가 벌어지고 있어요 .,LOC AFW-B NUM-B O O O O O
영등포구 여의대방로 567길 주택인데 이상한 물체가 보여 주민들이 경비를 부르고 있어요 .,LOC AFW-B NUM-B O O O O O O O O O
동작구 상도로 89길 주변인데 소방차 소리가 들려오고 있어요 .,LOC AFW-B NUM-B O O O O O O
중랑구 망우로 345길인데 의심스러운 사람들이 많이 모여 있어요 .,LOC AFW-B NUM-B O O O O O O
구로구 구로동로 678길 주택인데 불이 나서 화재 경보가 울려 퍼지고 있어요 .,LOC AFW-B NUM-B O O O O O O O O O
강남구 역삼동 올리브영인데 이상한 소리가 들려와 주민들이 불안해해요 .,LOC LOC LOC O O O O O O
관악구 신림동 678번지 앞 투썸플레이스인데 이상한 사람들이 시끄럽게 모여있어요 .,LOC LOC NUM-B O LOC O O O O O
강남구 청담동 567번지로 가는 길에 있는 CU 편의점인데 의심스러운 물건이 떨어져있어요 .,LOC LOC AFW-B O O O LOC LOC O O O O
한강공원에서 이마트트레이더스인데 사람이 특이한 동작을 하고 있어요 .,LOC LOC O O O O O O
용산구 이태원동 789-10번지로 가는 길에 있는 불꽃치킨인데 불길이 피어나서 주민들이 대피하고 있어요 .,LOC LOC AFW-B O O O LOC O O O O O O
성동구 성수동 234번지 주변을 지나가는데 스타벅스인데 소란스러운 시비가 벌어지고 있어요 .,LOC LOC NUM-B O O LOC O O O O O
중구 명동 11번지에서 GS25 편의점인데 의심스러운 물체가 보여 경비가 주시하고 있어요 .,LOC LOC NUM-B LOC LOC O O O O O O O
마포구 홍대입구역 근처에서 파리바게뜨인데 소방차 소리가 들려와 주변 사람들이 주목하고 있어요 .,LOC LOC O LOC O O O O O O O O
강서구 마곡동 345번지에 있는 주택에서 CU 편의점인데 의심스러운 사람들이 많이 모여 있어요 .,LOC LOC NUM-B O O LOC LOC O O O O O O
서초구 서초동 678번지로 가는 길에 있는 뚜레주르인데 냄새가 좀 이상해요 .,LOC LOC AFW-B O O O LOC O O O O
강남구 역삼동 노브랜드버거인데 큰 소리가 들려와 주민들이 놀라고 있어요 .,LOC LOC LOC O O O O O O O 
종로구 경복궁동 맥도날드 앞에서 이상한 사람들이 모여있어요 .,LOC LOC LOC O O O O O
영등포구 여의도동 스타벅스인데 불이 났어요 .,LOC LOC LOC O O O
송파구 잠실동 올림픽공원에서 의심스러운 물건이 보입니다 .,LOC LOC LOC O O O O
강북구 수유동 주택인데 의문의 동작을 하는 사람이 보입니다 .,LOC LOC O O O O O O O
강동구 천호동 CU 편의점에서 시비가 벌어지고 있는 상황입니다 .,LOC LOC LOC LOC O O O O O
강서구 등촌동 GS25 편의점에서 불이 나서 주민들이 대피하고 있습니다 .,LOC LOC LOC LOC O O O O O O
중구 을지로 뚜레주르인데 냄새가 좀 이상해요 .,LOC AFW-B LOC O O O O
성북구 동소문동 마트앞에서 큰 소리가 들려와 주민들이 주목하고 있습니다 .,LOC LOC LOC O O O O O O O
강남구 신사동 카페인데 이상한 사람들이 모여 있어요 .,LOC LOC LOC O O O O O
마포구 합정동 주변을 지나가는데 소란스러운 소리가 들려와 주민들이 불안해해요 .,LOC LOC O O O O O O O O
종로구 경복궁동 국민은행인데 의심스러운 사람들이 많이 모여 있어요 .,LOC LOC LOC O O O O O O
강동구 천호동에서 불길이 피어나서 대피가 필요한 상황입니다 .,LOC O O O O O O O
관악구 봉천동 주택인데 이상한 소리가 들려와 주민들이 불안해하고 있어요 .,LOC LOC O O O O O O O O
성동구 성수동 의원인데 의심스러운 물건이 떨어져있어요 .,LOC LOC LOC O O O O
용산구 이태원동 상점인데 시비가 벌어지고 있는 상황입니다 .,LOC LOC LOC O O O O O
중구 명동 주변을 지나가는데 의문의 동작을 하는 사람이 보입니다 .,LOC LOC O O O O O O O O
강남구 역삼동 CU 편의점에서 의심스러운 물체가 보여 경비가 주시하고 있습니다 .,LOC LOC LOC LOC O O O O O O O
송파구 잠실동 공원에서 불이 나서 주민들이 대피하고 있어요 .,LOC LOC LOC O O O O O O
성북구 동소문동 상점인데 불길이 피어나서 주민들이 불안해하고 있어요 .,LOC LOC LOC O O O O O O
강동구 천호동 주택에서 의문의 사람들이 많이 모여 있어요 .,LOC LOC LOC O O O O O O
강서구 등촌동 주변을 지나가는데 의심스러운 물건이 보입니다 .,LOC LOC O O O O O O
중랑구 면목동 주변에서 소란스러운 소리가 들려와 주민들이 놀라고 있어요 .,LOC LOC O O O O O O O O
마포구 망원동 주택인데 의심스러운 사람들이 모여 있어요 .,LOC LOC LOC O O O O O
강남구 청담동 주변을 지나가는데 의심스러운 물체가 보입니다 .,LOC LOC O O O O O O
강서구 마곡동 주택에서 냄새가 좀 이상해요 .,LOC LOC LOC O O O O
종로구 경복궁동 주택인데 이상한 소리가 들려와 주민들이 주목하고 있어요 .,LOC LOC LOC O O O O O O O
강북구 수유동 상점인데 의문의 동작을 하는 사람이 보입니다 .,LOC LOC LOC O O O O O O
강동구 천호동 CU 편의점에서 시비가 벌어지고 있는 상황입니다 .,LOC LOC LOC LOC O O O O O
중구 을지로 스타벅스인데 불이 났어요 .,LOC AFW-B LOC O O O
관악구 봉천동 주변을 지나가는데 의심스러운 사람들이 모여 있어요 .,LOC LOC O O O O O O O
성동구 성수동 주택에서 의문의 냄새가 나옵니다 .,LOC LOC O O O O O
용산구 이태원동 상점인데 이상한 사람들이 시끄럽게 모여있어요 .,LOC LOC O O O O O O
중구 명동 주변을 지나가는데 의심스러운 물건이 떨어져있어요 .,LOC LOC O O O O O O
강동구 천호동 CU 편의점에서 주변에서 시비가 벌어지고 있는 것 같습니다 .,LOC LOC LOC LOC O O O O O O O
송파구 잠실동 주택에서 불이 나서 주민들이 대피하고 있습니다 .,LOC LOC O O O O O O O
성북구 동소문동 상점인데 이상한 소리가 들려와 주민들이 불안해하고 있어요 .,LOC LOC LOC O O O O O O O
강남구 역삼동 노브랜드버거인데 의문의 사람들이 많이 모여 있어요 .,LOC LOC LOC O O O O O O 
종로구 경복궁동 국민은행인데 의심스러운 동작을 하는 사람이 보입니다 .,LOC LOC LOC O O O O O O
중구 을지로 주변을 지나가는데 의심스러운 물체가 보입니다 .,LOC AFW-B O O O O O O
강동구 천호동 CU 편의점에서 불길이 피어나서 대피가 필요한 상황입니다 .,LOC LOC LOC LOC O O O O O O
관악구 봉천동 주택에서 의문의 냄새가 나옵니다 .,LOC LOC O O O O O
성동구 성수동 주변을 지나가는데 이상한 사람들이 모여 있어요 .,LOC LOC O O O O O O O
